"zone","state","lga","sector","ea","hhid","shock_cd","s15aq1","s15aq1b","s15aq2","s15aq3a","s15aq3b","s15aq3c","s15aq3d","s15aq3e","s15aq4a","s15aq4b","s15aq4c","s15aq5a","s15aq5b","s15aq5c","s15aq5d","s15aq6a","s15aq6b","s15aq6c"
2,5,506,2,830,50003,1,1,,,1,,,,,1,,,21,,,,,,
2,5,506,2,830,50003,3,1,,,1,,,,,1,,,21,,,,,,
2,5,506,2,830,50004,12,1,,,1,,,,,3,,,,,,,98,,
2,5,506,2,830,50004,17,1,,,,,,1,,1,,,,,,,1,,
2,5,506,2,830,50005,12,1,,1,,,1,,,,,,21,,,,,,
2,5,506,2,830,50007,5,1,,1,,,,,1,1,3,2,21,,,,1,2,
2,5,502,1,2194,50011,8,1,,1,,,,1,,1,,,21,,,,2,,
2,5,502,1,2194,50012,1,1,,1,,,,,1,,,,3,,,,98,,
2,5,502,1,2194,50014,20,1,,1,,,,1,,,,,21,,,,98,,
2,5,502,1,2194,50017,8,1,,3,1,1,1,,,2,,,3,,,,98,1,
2,5,502,1,2194,50018,8,1,,2,,1,,,,2,,,3,,,,1,9,8
2,5,502,1,2194,50018,20,1,,3,1,1,1,,,3,,,3,,,,1,9,8
2,5,502,1,2194,50019,5,1,,2,,,,,,3,,,1,6,,,1,2,
2,5,502,1,2194,50019,8,1,,3,,,,,,3,,,1,6,,,1,2,
2,5,502,1,2194,50019,20,1,,5,,,,,,2,,,6,1,,,1,2,
2,5,502,2,3878,50031,1,1,,1,,1,,,,1,,,21,,,,98,,
2,5,502,2,3878,50031,21,1,,,,,,1,,1,,,21,,,,98,,
2,5,502,2,3878,50032,1,1,,,,1,,,,1,,,21,,,,98,,
2,5,502,2,3878,50032,21,1,,,,,,1,,1,,,21,,,,98,,
2,5,502,2,3878,50034,9,1,,2,,,1,,,2,1,,21,,,,1,,
2,5,502,2,3878,50035,8,1,,3,,1,,1,1,1,2,3,21,3,,,1,,
2,5,502,2,3878,50038,9,1,,1,,1,,,,1,2,,21,,,,1,,
2,5,504,2,708,50043,12,1,,1,,,,1,,2,3,,7,16,,,98,,
2,5,504,2,708,50044,12,1,,1,,,,1,,1,,,15,16,,,98,,
2,5,504,2,708,50047,12,1,,,,,,1,,2,,,16,,,,98,,
2,5,504,2,708,50048,1,1,,1,,,,,1,1,,,4,,,,1,12,
2,5,504,2,708,50050,12,1,,1,,,,1,,2,,,1,7,,,98,,
2,5,513,2,348,50052,21,1,,1,,,,1,,1,,,21,,,,1,,
2,5,501,2,60,50073,4,1,,1,,,,,1,2,,,21,,,,98,,
2,5,501,2,60,50073,12,1,,1,,1,,,,2,,,21,,,,98,,
2,5,501,2,60,50073,17,1,,1,,,,,1,3,,,21,,,,98,,
2,5,501,2,60,50074,13,1,,1,,,,1,,1,2,3,21,,,,1,2,6
2,5,501,2,60,50075,8,1,,2,1,1,,,,1,2,3,21,14,8,,1,2,
2,5,501,2,60,50075,17,1,,1,,,1,,,1,2,3,21,,,,12,,
2,5,501,2,60,50076,13,1,,1,,,1,,,1,,,21,,,,98,,
2,5,501,2,60,50077,12,1,,2,,1,1,,,2,,,1,13,,,98,,
2,5,501,2,60,50077,21,1,,3,,,1,1,1,3,,,22,,,,1,,
2,5,501,2,60,50078,21,1,,2,,,1,1,,3,,,21,,,,1,,
2,5,501,2,60,50079,18,1,,2,,1,1,,,2,,,3,,,,1,,
2,5,501,2,60,50079,21,1,,1,,,,1,,3,,,22,,,,1,,
2,5,501,2,60,50080,12,1,,2,,,1,1,,1,2,,21,,,,98,,
2,5,516,2,942,50082,12,1,,,1,,,,,2,,,,,,,98,,
2,5,516,2,942,50084,3,1,,,1,,,,,,,,7,,,,,,
2,5,516,2,942,50089,2,1,,,,1,,,,1,3,,,,,,1,,
2,5,516,2,942,50089,12,1,,,,1,,,,7,1,,,,,,98,,
2,5,516,2,942,50089,14,1,,,,1,,,,1,,,,,,,98,,
2,5,516,2,942,50090,14,1,,,1,,,,,1,7,,,,,,98,,
2,5,508,2,984,50092,12,1,,1,,1,,,,1,2,,21,,,,98,,
2,5,508,2,984,50093,12,1,,1,,,1,,,3,1,,21,,,,98,,
2,5,508,2,984,50095,12,1,,1,,,1,,,1,,,21,,,,98,,
2,5,508,2,984,50096,8,1,,1,1,,,,,1,2,3,21,,,,1,2,3
2,5,508,2,984,50097,11,1,,1,,1,,,,1,2,3,21,,,,1,2,8
2,5,508,2,984,50097,13,1,,1,,1,,,,1,2,3,21,,,,1,2,8
2,5,508,2,984,50098,1,1,,1,,,,,1,1,,,22,,,,98,,
2,5,508,2,984,50099,1,1,,5,1,,,,,1,,,22,,,,98,,
2,5,508,2,984,50099,21,1,,1,,,,,1,2,,,22,,,,1,,
2,5,508,2,984,50100,21,1,,2,,,,1,1,1,,,21,,,,1,,
2,5,508,2,984,50100,22,1,,1,,,,,1,1,,,21,,,,98,,
2,5,514,1,2036,50101,2,1,,,,,,1,,2,,,,,,,2,,
2,5,514,1,2036,50101,17,1,,1,,,,1,,1,,,1,7,,,98,,
2,5,514,1,2036,50102,1,1,,1,,,,1,,1,,,,,,,98,,
2,5,514,1,2036,50103,1,1,,1,,,1,,,1,,,7,8,4,,98,,
2,5,508,2,718,50112,12,1,,,1,,,,,2,,,21,,,,1,2,3
2,5,508,2,718,50112,13,1,,,,,,1,,1,2,,21,,,,1,2,3
2,5,508,2,718,50113,1,1,,2,,1,,1,,1,,,22,,,,98,,
2,5,508,2,718,50114,5,1,,1,,,1,,,1,2,3,21,,,,1,3,9
2,5,508,2,718,50114,8,1,,1,,,,1,,1,2,3,21,,,,1,2,3
2,5,508,2,718,50115,8,1,,4,1,1,1,1,,1,2,3,21,,,,1,2,
2,5,508,2,718,50115,20,1,,3,0,0,1,1,1,1,2,3,21,,,,1,2,
2,5,508,2,718,50116,21,1,,2,,,,1,,2,,,21,,,,1,,
2,5,508,2,718,50118,12,1,,1,,,1,,,1,2,,21,,,,98,,
2,5,508,2,718,50118,20,1,,1,,,,1,,1,,,21,,,,98,,
2,5,508,2,718,50119,12,1,,,,,1,,,1,2,,21,,,,98,,
2,5,508,2,718,50119,13,1,,,,,,,1,1,,,21,,,,1,,
2,5,508,2,718,50119,20,1,,,,,1,,,1,,,21,,,,98,,
2,5,508,2,718,50120,12,1,,1,,,1,,,1,2,,21,,,,98,,
2,5,508,2,718,50120,20,1,,1,,,,1,,1,3,2,21,,,,98,,
2,5,510,1,872,50125,2,1,,1,,,1,,,2,1,,21,,,,1,,
2,5,518,2,1588,50132,9,1,,3,1,1,1,,,1,2,3,21,,,,1,2,3
2,5,518,2,1588,50132,10,1,,1,,1,,,,1,2,3,21,,,,1,2,3
2,5,518,2,1588,50138,1,1,,,,,,1,,1,,,22,,,,98,,
2,5,518,2,1588,50139,1,1,,3,,,1,,,1,,,21,,,,98,,
2,5,518,2,1588,50139,21,1,,,,,,1,,2,,,21,,,,1,,
2,5,518,2,1588,50140,8,1,,1,,,,,1,1,3,2,21,,,,28,,
2,5,510,2,1516,50141,12,1,,1,1,,,,,,,,14,,,,98,,
2,5,510,2,1516,50142,1,1,,,,1,,,,7,,,,,,,98,,
2,5,510,2,1516,50145,18,1,,,1,,,,,1,,,8,,,,98,,
2,5,510,2,1516,50147,12,1,,1,,1,,,,1,,,3,,,,98,,
2,5,510,2,1516,50148,2,1,,1,,,1,,,1,1,1,21,7,12,4,98,,
2,5,518,2,1304,50152,2,1,,1,,,,,1,1,2,3,21,,,,1,,
2,5,518,2,1304,50154,1,1,,2,,,1,1,,1,2,3,21,,,,1,3,
2,5,518,2,1304,50158,21,1,,2,,,1,,,1,,,21,,,,21,,
2,5,520,2,1756,50165,17,1,,1,,,,1,,2,,,7,,,,98,,
5,6,602,2,1356,60001,1,1,,1,1,,,,,1,,,8,,,,1,,
5,6,602,2,1356,60004,3,1,,1,,,,,,1,,,1,6,14,,98,,
5,6,602,2,1356,60008,13,1,,,,,,1,,1,,,8,,,,1,2,
5,6,606,2,1372,60015,13,1,,3,,1,1,1,,2,,,13,14,6,,98,,
5,6,606,2,1372,60020,9,1,,,,,,1,,1,,,8,,,,1,,
5,6,608,1,3978,60026,9,1,,2,,1,,1,,2,1,,2,1,,,1,2,
5,6,608,1,3978,60029,11,1,,1,,,,,1,2,,,7,,,,98,,
5,6,607,2,1892,60036,1,1,"HUSHAND",1,,,,,1,1,,,8,,,,98,,
5,6,607,2,1892,60038,4,1,,1,,,,1,,,,,,,,,,,
5,6,607,2,1892,60040,22,1,"DEATH OF CHILDREN",2,,,1,1,,1,,,21,21,,,,,
5,6,605,2,162,60051,9,1,,,,,1,,,1,,,21,,,,98,,
5,6,608,2,748,60061,1,1,,1,,,,1,,1,,,2,5,7,,98,,
5,6,608,2,748,60068,22,1,"DEATH OF MALE CHILD",1,,,,1,,1,,,21,,,,98,,
1,7,707,2,560,70004,2,1,,1,,,,,1,1,,,7,8,12,14,1,,
1,7,707,2,560,70006,3,1,,1,,,,,1,1,,,7,8,12,,98,,
1,7,707,2,560,70006,19,1,,2,,1,,,1,2,,,8,12,,,98,,
1,7,707,2,560,70007,2,1,,1,,1,,,,2,,,8,13,1,,1,,
1,7,707,2,560,70010,12,1,,1,,,,1,,1,,,8,12,,,98,,
1,7,707,2,560,70010,19,1,,2,,,1,1,,1,,,7,8,12,,98,,
1,7,708,2,754,70018,2,1,,2,1,1,,,,1,,,12,7,8,,98,,
1,7,708,2,754,70020,19,1,,2,,,,1,1,1,,,12,8,,,98,,
1,7,705,2,4186,70022,2,1,,1,0,0,0,1,0,2,,,7,,,,1,2,3
1,7,705,2,4186,70022,3,1,,1,0,,0,1,0,1,,,7,8,13,5,1,2,3
1,7,705,2,4186,70025,2,1,,1,,1,,,,2,,,,,,,6,,
1,7,705,2,4186,70026,2,1,,1,,,,1,,1,,,7,8,12,,,,
1,7,705,2,4186,70026,17,1,,1,,,,,1,2,,,7,14,,,,,
1,7,705,2,4186,70029,2,1,,1,,,,1,,1,,,7,8,,,,,
1,7,705,2,4186,70030,10,1,,1,,1,,,,1,,,14,15,12,,98,,
1,7,705,2,4186,70030,17,1,,2,1,,,,1,,3,,7,,,,1,2,3
1,7,705,2,4186,70030,19,1,,3,,1,,1,1,,2,,12,8,,,1,2,
1,7,722,2,234,70033,17,1,,1,,,,,1,1,,,7,12,,,1,2,
1,7,722,2,234,70034,3,1,,1,,,,,1,3,,,14,15,,,2,,
1,7,722,2,234,70035,19,1,,2,,1,,1,,1,,,5,12,,,98,,
1,7,722,2,234,70037,2,1,,2,1,,1,,,1,,,7,8,10,12,98,,
1,7,722,2,234,70037,9,1,,1,1,,1,,,2,,,8,,,,1,,
1,7,722,2,234,70040,3,1,,1,,,,1,,1,,,,1,,,1,,
1,7,722,2,892,70043,1,1,,1,0,1,0,0,0,1,,,8,12,,,98,,
1,7,722,2,892,70043,19,1,,2,0,1,0,1,0,2,3,,7,12,,,98,,
1,7,722,2,892,70044,1,1,,1,,1,,,,1,,,7,8,12,,98,,
1,7,722,2,892,70044,9,1,,1,,,1,,,2,,,8,12,14,,,98,
1,7,722,2,892,70045,9,1,,1,,,1,,,1,,,7,12,,,98,,
1,7,710,2,2726,70054,17,1,,1,,,,1,,1,,,7,8,12,,98,,
1,7,710,2,2726,70055,19,1,,3,1,,1,,,1,,,7,8,12,,98,,
1,7,711,2,2532,70061,1,1,,1,1,,,,,1,,,8,4,,,4,,
1,7,711,2,2532,70062,10,1,,1,0,1,0,0,0,1,,,1,8,12,,98,,
1,7,711,2,2532,70062,12,1,,1,0,0,1,0,0,2,,,14,12,,,98,,
1,7,711,2,2532,70065,1,1,,1,0,1,0,0,0,1,,,8,10,4,21,98,,
1,7,711,2,2532,70065,19,1,,1,0,0,1,0,0,2,,,12,14,21,21,98,,
1,7,711,2,2532,70069,1,1,,1,1,,,,,,,,7,,,,1,,
1,7,709,2,1226,70072,9,1,,1,0,0,0,1,0,2,,,14,8,21,21,1,2,
1,7,709,2,1226,70072,19,1,,1,0,0,0,0,0,1,,,12,7,21,21,1,2,
1,7,709,2,1226,70073,10,1,,2,0,1,0,1,0,1,,,1,2,,,98,,
1,7,709,2,1226,70073,17,1,,1,0,0,1,0,0,1,,,1,2,,,98,,
1,7,709,2,1226,70074,3,1,,4,0,0,2,1,1,1,,,3,,,,,,
1,7,709,2,1226,70074,12,1,,0,1,0,0,0,0,1,1,,1,,,,,,
1,7,709,2,1226,70074,17,1,,1,1,0,0,1,0,2,1,2,,,,,,,
1,7,709,2,1226,70075,2,1,,1,,,1,,,3,,,5,,,,3,4,
1,7,709,2,1226,70077,18,1,,2,,,1,1,,2,,,1,5,8,,1,,
1,7,719,1,1612,70082,8,1,,1,,,,1,,1,,,6,7,,,1,,
1,7,719,1,1612,70083,12,1,"POOR RAIN THAT CAUSE",1,,1,,,,1,,,14,,,,98,,
1,7,717,2,1248,70093,10,1,,1,,1,,,,2,,,14,8,3,8,98,,
1,7,717,2,1248,70093,12,1,,2,1,,1,,,1,,,5,1,4,1,98,,
1,7,717,2,1248,70093,18,1,,2,1,,1,,,,,,,,,,,,
1,7,717,2,1248,70093,20,1,,5,1,1,1,1,1,3,,,3,7,13,8,98,,
1,7,717,2,1248,70094,12,1,,2,1,,1,,,1,,,8,14,9,7,1,,
1,7,717,2,1248,70094,20,1,,1,,1,,,,2,,,7,11,14,8,98,,
1,7,717,2,1248,70095,12,1,,,,1,,,,2,,,14,7,8,11,98,,
1,7,717,2,1248,70095,20,1,,2,,1,1,,,1,,,8,14,7,11,98,,
1,7,717,2,1248,70096,20,1,,3,,1,1,1,,1,,,8,11,7,15,98,,
1,7,717,2,1248,70099,1,1,,1,,,,,,1,,,8,7,15,4,1,,
1,7,717,2,1248,70100,12,1,,1,,1,,,,3,,,14,7,8,11,98,,
1,7,717,2,1248,70100,18,1,,2,,,1,1,,2,,,8,11,7,8,98,,
1,7,717,2,1248,70100,20,1,,2,,1,1,,,1,,,8,11,14,7,98,,
1,7,701,2,606,70103,1,1,,1,,,,1,,1,,,13,14,7,8,98,,
1,7,702,2,632,70112,12,1,,,,,,1,,1,,,7,8,9,11,98,,
1,7,702,2,632,70113,13,1,,1,,,,1,,1,,,14,,,,98,,
1,7,702,2,632,70116,1,1,,1,,,,,1,2,,,7,8,11,,98,,
1,7,702,2,632,70116,8,1,,1,,,,1,,1,,,7,8,11,,98,,
1,7,702,2,632,70116,13,1,,1,,,,1,,3,,,7,8,11,,98,,
1,7,702,2,632,70116,17,1,,1,,,,1,,,,,11,8,7,,98,,
1,7,718,2,1640,70125,17,1,,,,,,1,,1,,,8,7,9,,1,,
1,7,718,2,1640,70128,17,1,,1,,,,1,,1,,,1,7,21,21,1,,
1,7,715,2,780,70139,20,1,,1,,,1,,,1,,,11,14,,,98,,
1,7,715,2,780,70140,12,1,,1,,1,,,,1,,,14,,,,98,,
1,7,715,2,780,70140,20,1,,1,,,1,,,2,,,8,14,,,98,,
1,7,715,1,294,70150,1,1,,1,,,,1,,1,,,7,,,,98,,
1,7,715,1,294,70150,12,1,,,,1,,,,2,,,14,,,,98,,
2,8,813,2,2094,80003,1,1,,1,1,,,,,1,2,3,1,,,,,,
2,8,813,2,2094,80003,3,1,,1,1,,,,,1,3,3,1,21,,,,,
2,8,813,2,2094,80003,18,1,,1,2,,,,1,1,2,,21,7,,,1,2,32
2,8,813,2,2094,80005,8,1,,1,1,,,,,1,,,12,,,,,,
2,8,813,2,2094,80005,20,1,,1,1,,,,,1,,,6,,,,,,
2,8,813,2,2094,80008,8,1,,1,,,,1,1,2,,,4,,,,1,,
2,8,821,1,1448,80011,8,1,,1,1,,,,,1,2,,9,8,,,,,
2,8,821,1,1448,80011,18,1,,1,1,,,,,2,1,,16,6,,,9,8,
2,8,821,1,1448,80013,12,1,,2,1,1,,,,1,1,,,,,,98,,
2,8,821,1,1448,80013,18,1,,2,,,,1,1,2,1,,,,,,98,,
2,8,821,1,1448,80013,20,1,,2,,,,1,1,2,1,,,,,,98,,
2,8,821,1,1448,80013,21,1,,3,,,1,1,1,2,1,,,,,,98,,
2,8,821,1,1448,80014,1,1,,1,,,1,,,,,,,,,,,,
2,8,821,1,1448,80014,12,1,,1,,,,1,,,,,,,,,,,
2,8,821,1,1448,80014,20,1,,1,,,,,1,,,,,,,,,,
2,8,821,1,1448,80015,8,1,,2,1,,,,,,,,,,,,,,
2,8,821,1,1448,80015,12,1,,2,1,1,,,,,,,,,,,,,
2,8,821,1,1448,80016,4,1,,1,1,,,,,1,,,21,,,,1,,
2,8,821,1,1448,80016,8,1,,1,1,,1,,,2,,,21,,,,1,,
2,8,821,1,1448,80016,9,1,,1,,1,,,,2,,,21,,,,1,,
2,8,821,1,1448,80016,12,1,,1,,1,,,,2,,,21,,,,1,,
2,8,821,1,1448,80017,18,1,,,,,,,1,,,,,,,,,,
2,8,821,1,1448,80017,20,1,,,,,,,1,,,,,,,,,,
2,8,821,1,5062,80022,5,1,,2,,1,1,,,1,2,,6,5,11,,98,,
2,8,821,1,5062,80023,2,1,,1,,,,1,,,,,7,,,,,,
2,8,821,1,5062,80023,8,1,,2,,,,1,1,,,,,,,,,,
2,8,821,1,5062,80023,12,1,,1,,,,,1,,,,,,,,,,
2,8,821,1,5062,80025,20,1,,,,,1,1,,2,,,21,15,,,98,,
2,8,821,1,5062,80026,4,1,,2,,,,1,1,,,,21,,,,9,,
2,8,821,1,5062,80029,2,1,,2,,,,1,1,,,,,,,,,,
2,8,821,1,5062,80029,21,1,,1,1,,,,1,,,,,,,,,,
2,8,821,1,5062,80030,1,1,,1,,,,1,,4,,,4,,,,98,,
2,8,816,2,1270,80033,11,1,,1,1,,,,,1,,,1,8,,,,,
2,8,816,2,1270,80033,17,1,,1,1,1,,,,2,1,1,1,8,6,,,,
2,8,816,2,1270,80034,8,1,,5,1,1,1,1,1,1,1,,1,8,,,2,,
2,8,816,2,1270,80034,12,1,,3,1,1,1,1,,,,,1,1,8,15,98,,
2,8,816,2,1270,80034,14,1,,2,1,1,,,,,,,3,1,8,18,98,,
2,8,816,2,1270,80034,18,1,,5,1,1,1,1,1,1,,,1,8,15,,98,,
2,8,816,2,1270,80034,20,1,,4,1,1,1,1,,2,,2,1,8,15,,98,,
2,8,816,2,1270,80035,8,1,,3,1,1,1,1,1,1,2,,3,1,8,,98,,
2,8,816,2,1270,80038,1,1,,1,,,,,1,3,3,,3,,,,2,3,8
2,8,803,1,944,80042,8,1,,5,1,1,1,1,1,2,,,1,15,8,21,98,,
2,8,803,1,944,80042,12,1,,3,1,1,1,,,2,,,1,15,8,21,98,,
2,8,803,1,944,80042,14,1,,2,1,1,,,,2,,,1,15,8,21,98,,
2,8,803,1,944,80042,18,1,,5,1,1,1,1,1,2,,,1,15,8,21,98,,
2,8,803,1,944,80042,20,1,,3,1,1,1,,,2,,,1,15,8,21,98,,
2,8,803,1,944,80047,8,1,,1,,,1,,,2,,,8,10,,,98,,
2,8,811,1,1558,80053,2,1,,3,,1,,,,1,,,,,,,,,
2,8,811,1,1558,80053,12,1,,2,,1,,,,2,,,,,,,,,
2,8,811,1,1558,80057,12,1,,3,1,1,1,,,1,,,14,15,8,21,98,,
2,8,811,1,1558,80057,14,1,,1,1,,,,,,,,3,15,14,8,98,,
2,8,811,1,1558,80057,18,1,,4,1,1,1,1,1,2,,,8,15,14,21,98,,
2,8,811,1,1558,80057,20,1,,4,1,1,1,1,1,1,,,14,8,15,21,98,,
2,8,811,1,1558,80058,8,1,,5,1,1,1,1,1,2,,,8,14,15,21,,,
2,8,811,1,1558,80058,12,1,,3,1,1,1,1,,1,,,15,8,14,,21,,
2,8,811,1,1558,80058,13,1,,2,1,,,1,,3,,,8,15,14,,21,,
2,8,811,1,1558,80058,18,1,,3,1,1,1,,,1,,,8,15,14,,21,,
2,8,811,1,1558,80058,20,1,,3,1,1,1,,,3,,,8,15,14,,21,,
2,8,811,1,1558,80060,16,1,,1,1,1,,,,1,,,,,,,1,,
2,8,811,2,390,80061,2,1,,1,1,,,,,1,,,21,,,,1,2,
2,8,811,2,390,80061,12,1,,1,,,,,1,2,,,21,,,,1,2,6
2,8,811,2,390,80065,2,1,,4,1,1,1,1,,3,,,21,,,,2,,
2,8,811,2,390,80065,9,1,,2,,,1,,,2,,,21,,,,2,,
2,8,811,2,390,80068,8,1,,5,1,1,1,1,1,2,,,1,14,15,21,98,,
2,8,811,2,390,80068,12,1,,3,1,1,1,,,2,,,1,15,14,21,98,,
2,8,802,2,1152,80071,13,1,,1,,,,1,,1,,,15,,,,,,
2,8,802,2,1152,80072,5,1,,1,1,,1,,,1,,,1,8,,,98,,
2,8,802,2,1152,80072,17,1,,1,,,,,,,,,1,2,,,98,,
2,8,802,2,1152,80073,12,1,,3,4,1,1,1,,1,,,8,15,14,21,,,
2,8,802,2,1152,80073,13,1,,2,,,,1,1,3,,,8,15,14,21,,,
2,8,802,2,1152,80073,18,1,,4,1,1,1,1,1,,,,8,15,14,21,,,
2,8,802,2,1152,80074,13,1,,1,,,,1,,2,,,14,,,,1,2,3
2,8,802,2,1152,80075,2,1,,1,1,,,,,2,1,,,,,,1,2,
2,8,802,2,1152,80075,3,1,,,,1,1,,,2,1,,,,,,1,2,
2,8,802,2,1152,80076,2,1,,1,,,,,1,,,,,,,,2,,
2,8,802,2,1152,80076,3,1,,1,1,,1,,,1,,,21,6,,,2,,
2,8,802,2,1152,80076,12,1,,1,,,,,1,1,,,21,6,,,1,2,
2,8,802,2,1152,80076,17,1,,1,,,,1,,1,,,21,6,,,1,2,
2,8,802,2,1152,80077,2,1,,1,,,,1,,1,,,22,,,,1,,
2,8,802,2,1152,80077,13,1,,1,,,,,1,2,,,22,,,,2,,
2,8,802,2,1152,80078,10,1,,1,1,,,,1,3,,,21,,,,1,2,8
2,8,802,2,1152,80079,2,1,,5,1,,1,,,1,,,4,8,5,,98,,
2,8,802,2,1152,80079,13,1,,1,,,,1,,1,,,8,4,,,98,,
2,8,802,2,1152,80079,22,1,,1,,,,,1,2,,,21,,,,1,10,
2,8,802,2,1152,80080,3,1,,2,,,,1,1,1,,,1,8,14,15,,,
2,8,802,2,1152,80080,12,1,,2,1,1,,,,2,,,1,8,14,15,,,
2,8,802,2,1152,80080,13,1,,3,,1,1,1,,1,,,1,8,14,15,,,
2,8,802,2,1152,80080,18,1,,2,1,1,,,,2,,,1,8,14,15,,,
2,8,802,2,1152,80080,20,1,,2,,1,1,,,3,,,1,8,14,15,,,
2,8,812,2,866,80081,11,1,,1,1,,,,,3,,,1,2,,,98,,
2,8,812,2,866,80081,12,1,,1,1,,,,,2,,,1,1,,,98,,
2,8,812,2,866,80081,13,1,,1,1,,1,,,1,,,2,1,,,98,,
2,8,812,2,866,80083,2,1,,1,,1,,,,,,,14,8,,,1,2,
2,8,812,2,866,80084,12,1,,,,,,,1,3,,,14,,,,1,2,3
2,8,812,2,866,80086,1,1,,,1,,,,,1,,,8,4,2,,1,,
2,8,812,2,866,80086,2,1,,,1,,,,,2,,,4,1,2,,2,,
2,8,812,2,866,80087,9,1,,1,,,,,1,,,,9,,,,,,
2,8,812,2,866,80090,12,1,,3,1,1,1,,,1,,,2,14,15,,,,
2,8,812,2,866,80090,18,1,,5,1,1,1,1,1,2,,,1,14,2,15,,,
2,8,812,2,866,80090,20,1,,5,1,1,1,1,1,3,,,2,1,14,15,,,
2,8,805,2,46,80092,11,1,,1,1,,,,,1,,,6,2,5,1,,,
2,8,805,2,46,80094,5,1,,,,,,,,,,,,,,,,,
2,8,805,2,46,80098,1,1,,,,,1,,,1,,,4,,,,98,,
2,8,805,2,46,80099,3,1,,3,1,1,1,,,,,,14,7,3,,1,,
2,8,805,2,46,80099,4,1,,1,1,1,1,,,,,,8,5,,,1,,
2,8,805,2,46,80099,5,1,,1,1,,,,,,,,8,3,,,1,,
2,8,805,2,46,80099,8,1,,1,1,,,,,,1,3,3,,,,1,,
2,8,805,2,46,80100,17,1,,1,,,,1,,2,,,22,,,,,,
2,8,827,2,804,80101,12,1,,2,1,1,,,,1,,,1,14,15,8,98,,
2,8,827,2,804,80101,20,1,,5,1,1,1,1,1,2,,,1,14,15,8,98,,
2,8,827,2,804,80102,8,1,,2,1,,,1,,3,,,7,1,,,98,,
2,8,827,2,804,80102,22,1,,1,1,,,1,,1,,,7,,,,98,,
2,8,827,2,804,80105,12,1,,1,,,1,,,2,,,14,,,,1,2,3
2,8,827,2,804,80109,4,1,,1,1,,,,,2,,,21,,,,1,2,3
2,8,827,2,804,80109,12,1,,1,,,,,1,3,,,14,,,,1,2,3
2,8,827,2,804,80110,1,1,,,,,,1,,1,,,,,,,98,,
2,8,807,2,946,80112,9,1,,1,,,1,,,9,,,21,,,,1,,
2,8,807,2,946,80113,1,1,,,,,,1,,1,,,6,7,,,,,
2,8,807,2,946,80113,21,1,,,,,,1,,1,,,6,7,8,,,,
2,8,807,2,946,80114,1,1,,1,,,,1,,1,,,21,,,,,,
2,8,807,2,946,80114,21,1,,1,,,,1,,2,,,1,3,,,,,
2,8,807,2,946,80115,8,1,,1,,,1,,,9,,,7,,,,1,,
2,8,807,2,946,80116,11,1,,1,,,,1,,1,,,1,4,,,1,2,6
2,8,807,2,946,80117,4,1,,1,,,,1,,1,,,1,,,,,,
2,8,807,2,946,80117,15,1,,1,1,,,1,,1,,,1,,,,,,
2,8,807,2,946,80117,17,1,,1,,,,,,,,1,,1,,,,,
2,8,807,2,946,80118,10,1,,1,,,,1,,1,,,22,,,,98,,
2,8,807,2,946,80118,11,1,,1,,,,1,,1,,,22,,,,98,,
2,8,807,2,946,80118,15,1,,1,,,,1,,1,,,22,,,,98,,
2,8,807,2,946,80118,17,1,,1,,,,1,,1,,,22,,,,98,,
2,8,807,2,946,80119,11,1,,1,,,,1,,3,,,4,,,,,,
2,8,807,2,946,80119,21,1,,1,,,,1,,3,,,7,,,,,,
2,8,807,2,2396,80121,12,1,,3,1,1,,1,,1,,,1,3,14,15,,,
2,8,807,2,2396,80121,18,1,,5,1,1,1,1,1,2,,,1,3,14,15,,,
2,8,807,2,2396,80123,8,1,,1,,,,,,1,,,8,6,,,98,,
2,8,807,2,2396,80123,12,1,,1,,,,,,2,,,6,8,2,,98,,
2,8,807,2,2396,80124,17,1,,,,,1,,,1,,,17,,,,1,,
2,8,807,2,2396,80127,12,1,,,1,,1,,,,,,,,,,,,
2,8,807,2,2396,80129,12,1,,1,,1,,,,2,,,14,,,,,,
2,8,807,2,1438,80131,1,1,,1,,1,,,,1,,,8,,,,98,,
2,8,807,2,1438,80131,2,1,,1,1,,,,,2,,,1,8,,,98,,
2,8,807,2,1438,80132,12,1,,3,1,1,1,,,1,,,1,14,15,21,98,,
2,8,807,2,1438,80132,13,1,,3,1,1,1,,,2,,,1,14,15,21,98,,
2,8,807,2,1438,80132,20,1,,5,1,1,1,1,1,3,,,15,15,14,21,98,,
2,8,807,2,1438,80135,7,1,,,1,,1,,,1,2,,8,6,,,98,,
2,8,807,2,1438,80135,20,1,,,1,,1,,,1,2,,8,11,,,98,,
2,8,807,2,1438,80136,14,1,,,,,,1,,1,,,16,,,,98,,
2,8,807,2,1438,80138,13,1,,1,,,,,1,2,,,21,,,,1,2,6
2,8,807,2,1438,80139,8,1,,1,1,,,,,2,,,15,,,,1,,
2,8,807,2,1438,80139,12,1,,2,,1,,1,,2,,,15,,,,12,34,57
2,8,820,2,1030,80143,17,1,,1,1,,,,,2,,,8,10,6,,98,,
2,8,820,2,1030,80144,14,1,,4,1,1,1,1,,2,,,14,8,15,,98,,
2,8,820,2,1030,80144,18,1,,4,1,1,1,1,,3,,,14,8,15,,98,,
2,8,820,2,1030,80144,20,1,,4,1,1,1,1,,1,,,14,8,15,,98,,
2,8,820,2,1030,80145,12,1,,1,,,,1,,2,,,2,10,,,98,,
